Date,MSFT,AMZN,KO,MA,COST,LUV,XOM,TSLA
2010-06-29,23.31,108.61,50.33,202.99,55.63,11.11,57.29,23.89
2010-06-30,23.01,109.26,50.12,199.53,54.83,11.11,57.07,23.83
2010-07-01,23.16,110.96,50.03,202.7,54.9,10.99,56.61,21.96
2010-07-02,23.27,109.14,50.05,202.77,54.23,10.75,56.57,19.2
2010-07-06,23.82,110.06,50.43,200.03,54.0,10.63,57.46,16.11
2010-07-07,24.3,113.43,51.47,207.57,54.29,11.29,58.43,15.8
2010-07-08,24.4095,116.22,52.42,209.67,55.71,11.43,58.81,17.46
2010-07-09,24.27,117.26,52.4,215.52,56.19,11.59,58.78,17.4
2010-07-12,24.83,119.51,52.45,213.67,55.93,11.86,58.94,17.05
2010-07-13,25.13,123.65,52.72,214.63,56.51,12.1,59.42,18.14
2010-07-14,25.44,123.3,52.82,213.17,56.35,12.06,59.26,19.84
2010-07-15,25.51,122.06,52.85,211.81,56.55,12.03,59.27,19.89
2010-07-16,24.89,118.49,52.37,197.22,54.98,11.76,57.96,20.64
2010-07-19,25.23,119.94,52.27,195.83,54.82,11.5,58.43,21.91
2010-07-20,25.48,120.1,53.24,205.3,55.09,11.47,58.95,20.3
2010-07-21,25.12,117.43,54.08,201.5,53.61,11.37,58.17,20.22
2010-07-22,25.84,120.07,54.26,208.4,54.9,11.69,59.38,21.0
2010-07-23,25.81,118.87,54.75,212.94,55.95,11.82,59.72,21.29
2010-07-26,26.1,118.4,54.94,212.83,55.71,12.07,60.39,20.95
2010-07-27,26.16,117.13,55.05,214.23,57.21,12.0,60.81,20.55
2010-07-28,25.95,117.13,54.88,210.09,56.51,12.01,60.91,20.72
2010-07-29,26.03,116.86,54.99,208.37,56.21,12.01,60.34,20.35
2010-07-30,25.81,117.89,55.11,210.04,56.71,12.05,59.68,19.94
2010-08-02,26.33,120.07,56.41,202.52,56.84,12.31,61.94,20.92
2010-08-03,26.16,122.42,56.38,200.91,56.55,12.07,62.72,21.95
2010-08-04,25.73,127.58,56.55,205.3,57.4,12.15,62.72,21.26
2010-08-05,25.37,127.83,56.37,201.63,56.46,12.06,62.71,20.45
2010-08-06,25.55,128.32,56.75,207.42,56.54,11.95,61.97,19.59
2010-08-09,25.61,128.83,57.11,214.89,57.16,12.14,62.45,19.6
2010-08-10,25.07,130.0,56.98,216.35,56.98,11.9,61.93,19.03
2010-08-11,24.86,125.89,56.04,209.66,55.87,11.43,60.39,17.9
2010-08-12,24.49,126.56,55.69,211.83,55.67,11.43,60.23,17.6
2010-08-13,24.4,124.69,55.73,210.64,55.31,11.4,59.91,18.32
2010-08-16,24.5,126.07,55.88,210.44,55.37,11.34,59.88,18.78
2010-08-17,24.71,128.86,56.12,214.03,55.83,11.5,60.82,19.15
2010-08-18,24.82,129.65,55.84,212.86,55.68,11.54,60.15,18.77
2010-08-19,24.44,127.57,55.28,208.89,55.01,11.2,59.29,18.79
2010-08-20,24.23,127.76,55.3,206.37,55.04,11.27,58.89,19.1
2010-08-23,24.28,126.6,55.6,205.19,54.9,11.05,59.5,20.13
2010-08-24,24.04,124.53,55.66,202.51,55.6,11.01,58.94,19.2
2010-08-25,24.1,126.85,55.39,206.11,57.07,10.94,58.91,19.9
2010-08-26,23.82,124.86,55.16,203.17,56.28,10.82,58.48,19.75
2010-08-27,23.93,126.64,56.16,206.62,56.19,11.13,59.8,19.7
2010-08-30,23.64,123.79,55.55,202.7,56.07,10.99,59.0,19.87
2010-08-31,23.465,124.83,55.8825,198.36,56.5,11.05,59.11,19.48
2010-09-01,23.9,132.49,57.31,201.08,57.79,11.5,60.91,20.45
2010-09-02,23.94,135.21,57.38,204.73,58.59,11.53,61.06,21.06
2010-09-03,24.29,138.79,57.56,206.98,58.57,11.57,61.32,21.05
2010-09-07,23.96,137.22,57.63,200.52,58.64,11.44,60.55,20.54
2010-09-08,23.93,139.14,57.83,194.4,59.21,11.51,60.75,20.9
2010-09-09,24.01,140.38,58.29,191.98,58.94,11.48,61.05,20.71
2010-09-10,23.85,142.44,58.52,198.14,59.54,11.52,61.2,20.17
2010-09-13,25.11,145.07,58.03,193.03,60.05,11.48,61.0,20.72
2010-09-14,25.03,145.75,57.59,199.75,61.04,11.5,61.01,21.12
2010-09-15,25.115,145.45,57.42,210.18,61.19,11.8,61.0,21.98
2010-09-16,25.33,148.13,57.51,210.29,61.24,11.95,60.97,20.94
2010-09-17,25.22,148.325,57.56,213.67,61.29,11.83,60.78,20.23
2010-09-20,25.43,151.3048,57.97,218.71,61.28,12.17,61.55,21.055
2010-09-21,25.15,150.73,58.11,216.99,61.27,12.16,61.54,20.77
2010-09-22,24.61,151.83,58.23,219.03,62.33,12.08,61.45,19.87
2010-09-23,24.43,152.85,57.87,219.43,62.5,11.87,61.15,19.56
2010-09-24,24.775,160.73,58.62,221.57,64.05,12.28,61.75,20.1
2010-09-27,24.7325,159.37,58.6,222.37,63.73,13.35,61.71,20.53
2010-09-28,24.6775,159.7,59.1,223.0,65.0,13.24,62.06,21.4
2010-09-29,24.5,158.99,58.76,222.63,64.67,13.19,61.59,21.98
2010-09-30,24.49,157.06,58.52,224.0,64.49,13.07,61.79,20.405
2010-10-01,24.38,153.71,59.12,224.78,65.05,12.94,62.54,20.6
2010-10-04,23.91,155.39,58.88,222.64,64.56,12.82,62.19,20.99
2010-10-05,24.35,160.87,59.66,225.9,64.66,13.02,63.26,21.12
2010-10-06,24.43,155.4,59.8,223.3,65.41,12.94,63.94,20.46
2010-10-07,24.53,156.27,59.44,220.86,65.26,12.88,63.85,20.43
2010-10-08,24.57,155.55,59.41,222.59,64.29,13.04,64.38,20.43
2010-10-11,24.59,153.03,59.56,222.86,64.32,12.86,64.55,20.24
2010-10-12,24.83,156.48,59.6,222.13,63.34,12.99,64.7,20.24
2010-10-13,25.34,155.17,59.94,230.89,63.36,12.97,65.04,20.54
2010-10-14,25.23,155.53,59.91,232.66,63.18,12.86,65.3,20.75
2010-10-15,25.54,164.64,59.94,233.7,63.7,12.95,65.19,20.54
2010-10-18,25.82,163.56,60.0,235.45,63.21,13.02,66.28,20.23
2010-10-19,25.1,158.67,60.34,237.05,62.21,12.69,65.12,20.05
2010-10-20,25.31,158.67,61.15,240.52,62.61,13.16,66.01,20.65
2010-10-21,25.42,164.97,61.47,243.19,63.6,13.62,66.32,20.75
2010-10-22,25.3775,169.13,61.61,242.64,64.03,13.47,66.34,20.72
2010-10-25,25.19,169.0,61.01,245.15,64.11,13.54,66.2,20.85
2010-10-26,25.9,169.95,61.24,243.52,63.68,13.57,66.53,21.36
2010-10-27,26.05,167.51,61.19,245.76,62.98,13.76,65.67,21.0
2010-10-28,26.28,166.84,61.21,239.52,62.8,13.76,66.22,21.19
2010-10-29,26.665,165.23,61.32,240.06,62.77,13.76,66.49,21.84
2010-11-01,26.95,162.58,61.71,238.99,63.28,13.87,66.95,21.41
2010-11-02,27.39,164.61,61.86,245.98,63.72,14.08,67.84,21.25
2010-11-03,27.03,168.47,61.95,251.83,63.16,14.11,67.97,21.77
2010-11-04,27.14,168.93,62.45,254.89,65.48,14.24,69.38,24.9
2010-11-05,26.85,170.77,62.58,256.29,65.4,14.19,70.0,24.44
2010-11-08,26.81,171.99,62.46,252.76,64.81,14.26,70.32,24.98
2010-11-09,26.95,170.27,62.64,251.52,64.22,13.93,70.63,24.63
2010-11-10,26.94,173.33,62.55,253.57,64.45,13.69,71.13,29.36
2010-11-11,26.68,170.37,62.8,252.07,65.35,13.69,71.83,28.035
2010-11-12,26.27,165.68,62.92,243.17,65.2,13.56,70.99,29.84
2010-11-15,26.2,158.9,62.96,242.93,65.48,13.51,70.48,30.8
2010-11-16,25.81,157.78,62.08,233.06,65.74,13.3,68.94,29.67
2010-11-17,25.57,158.35,62.52,234.57,67.02,13.31,69.01,29.49
2010-11-18,25.8375,164.17,63.84,242.49,66.41,13.56,70.31,29.89
2010-11-19,25.69,164.82,64.32,243.88,66.56,13.57,70.54,30.99
2010-11-22,25.73,170.39,64.27,243.41,67.26,13.64,70.19,33.4
2010-11-23,25.12,168.2,63.62,235.65,66.9,13.42,68.98,34.57
2010-11-24,25.37,177.25,64.61,237.79,67.54,13.75,69.88,35.47
2010-11-26,25.25,177.2,64.11,235.15,67.22,13.53,69.23,35.32
2010-11-29,25.31,179.49,63.39,235.56,66.97,13.55,69.45,34.33
2010-11-30,25.2575,175.4,63.17,237.03,67.61,13.32,69.56,35.33
2010-12-01,26.04,176.55,64.7,248.19,68.31,13.42,71.33,34.35
2010-12-02,26.89,176.53,64.9,249.19,69.01,13.28,71.48,32.35
2010-12-03,27.02,175.68,64.5,249.08,68.39,13.2,71.19,31.49
2010-12-06,26.84,178.05,63.99,253.16,69.19,13.01,71.31,30.31
2010-12-07,26.87,176.77,64.14,246.78,69.64,12.95,71.46,31.56
2010-12-08,27.23,176.29,64.39,250.64,69.25,12.82,71.85,32.37
2010-12-09,27.08,174.85,64.83,251.22,71.02,12.85,72.0,32.05
2010-12-10,27.34,175.62,64.65,254.76,71.25,12.9,72.18,31.52
2010-12-13,27.245,174.25,64.85,259.35,70.74,12.84,72.36,30.55
2010-12-14,27.62,173.94,63.9,254.12,71.21,12.88,72.18,28.53
2010-12-15,27.85,175.57,64.74,249.22,71.05,12.6,71.85,29.6
2010-12-16,27.9875,178.04,65.34,223.49,72.12,12.64,72.22,30.81
2010-12-17,27.9025,177.58,65.7,221.26,71.84,12.93,72.17,31.36
2010-12-20,27.81,183.29,65.31,223.54,72.31,12.94,72.22,31.7
2010-12-21,28.07,184.75,65.49,219.78,72.32,13.1,72.72,32.26
2010-12-22,28.1875,184.76,65.59,217.4,72.27,13.09,72.8,32.63
2010-12-23,28.3,182.59,65.58,218.3,72.24,12.94,73.2,30.09
2010-12-27,28.07,182.14,65.07,224.65,72.08,12.99,73.01,25.549
2010-12-28,28.01,181.09,65.36,224.52,72.71,13.08,73.42,26.41
2010-12-29,27.97,183.37,65.45,225.46,72.7,13.06,73.37,27.73
2010-12-30,27.85,182.75,65.5,223.72,72.85,12.97,73.36,26.5
2010-12-31,27.91,180.0,65.77,224.11,72.21,12.98,73.12,26.63
2011-01-03,27.98,184.22,65.22,220.85,72.47,13.24,74.55,26.62
2011-01-04,28.0875,185.01,63.87,223.7,72.33,13.32,74.9,26.67
2011-01-05,28.0,187.42,63.49,230.29,70.99,13.31,74.7,26.83
2011-01-06,28.82,185.86,63.03,231.12,70.65,13.16,75.18,27.88
2011-01-07,28.6,185.49,62.92,231.09,70.65,13.29,75.59,28.24
2011-01-10,28.22,184.68,63.06,230.2,70.48,13.3,75.13,28.45
2011-01-11,28.11,184.34,62.69,229.4,71.07,13.07,75.69,26.96
2011-01-12,28.55,184.08,63.04,232.83,71.49,13.16,76.58,26.96
2011-01-13,28.19,185.53,63.4,233.51,71.6,13.09,76.71,26.22
2011-01-14,28.3,188.75,63.13,236.91,72.51,13.24,77.84,25.75
2011-01-18,28.66,191.25,63.48,237.63,72.6,13.08,78.71,25.64
2011-01-19,28.47,186.87,63.42,235.36,72.07,12.83,78.24,24.03
2011-01-20,28.3525,181.96,62.93,235.1,72.36,12.79,77.75,22.62
2011-01-21,28.02,177.42,62.77,233.53,72.77,12.57,78.98,23.04
2011-01-24,28.38,176.85,63.25,239.0,72.62,12.76,78.59,24.49
2011-01-25,28.45,176.7,62.96,241.54,72.46,12.5,78.68,24.68
2011-01-26,28.78,175.39,62.96,240.18,72.62,12.46,79.66,24.75
